date,location_id,location_name,latitude,longitude,precipitation_mm,temperature_mean_c,temperature_max_c,temperature_min_c,relative_humidity_pct,wind_speed_ms,climate_source
2006-04-01,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,7.33,25.47,28.44,23.04,92.04,0.12,NASA_POWER
2006-04-02,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,15.46,23.71,25.64,21.37,96.0,0.13,NASA_POWER
2006-04-03,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,3.25,23.35,26.68,20.92,92.21,0.04,NASA_POWER
2006-04-04,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,26.59,24.49,27.94,21.33,89.67,0.21,NASA_POWER
2006-04-05,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,4.88,24.95,28.45,21.76,90.2,0.18,NASA_POWER
2006-04-06,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,31.88,24.44,27.05,22.33,92.42,0.1,NASA_POWER
2006-04-07,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,22.13,23.89,26.06,21.61,94.07,0.21,NASA_POWER
2006-04-08,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,16.62,23.6,25.71,21.68,94.54,0.17,NASA_POWER
2006-04-09,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,10.47,23.41,25.7,21.43,96.57,0.06,NASA_POWER
2006-04-10,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,4.34,24.15,27.67,21.0,91.11,0.14,NASA_POWER
2006-04-11,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,11.76,24.07,26.86,21.96,94.43,0.07,NASA_POWER
2006-04-12,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,10.42,24.35,27.7,21.75,92.27,0.04,NASA_POWER
2006-04-13,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.74,24.58,28.45,21.43,91.39,0.03,NASA_POWER
2006-04-14,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,3.37,24.32,27.43,21.27,91.12,0.12,NASA_POWER
2006-04-15,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,40.13,24.33,26.77,22.24,94.53,0.26,NASA_POWER
2006-04-16,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,29.82,23.65,25.7,21.85,97.46,0.05,NASA_POWER
2006-04-17,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,12.06,22.04,24.86,20.33,93.67,0.04,NASA_POWER
2006-04-18,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.41,23.66,27.94,19.89,88.99,0.07,NASA_POWER
2006-04-19,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,2.47,24.82,28.35,21.21,90.68,0.05,NASA_POWER
2006-04-20,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.71,24.5,27.9,21.99,90.51,0.08,NASA_POWER
2006-04-21,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.24,24.72,28.5,21.49,89.74,0.06,NASA_POWER
2006-04-22,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.73,24.3,27.18,22.0,91.75,0.04,NASA_POWER
2006-04-23,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.08,24.14,27.63,21.74,91.0,0.03,NASA_POWER
2006-04-24,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.0,23.61,27.56,19.93,87.75,0.06,NASA_POWER
2006-04-25,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,1.15,24.02,28.32,20.28,89.32,0.05,NASA_POWER
2006-04-26,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,1.89,23.68,27.61,19.95,90.02,0.03,NASA_POWER
2006-04-27,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.03,24.5,27.9,21.57,89.73,0.03,NASA_POWER
2006-04-28,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.0,24.28,28.15,20.67,88.49,0.07,NASA_POWER
2006-04-29,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.53,24.13,28.14,20.55,90.09,0.07,NASA_POWER
2006-04-30,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.01,24.11,27.98,20.99,88.4,0.03,NASA_POWER
2006-05-01,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.06,23.02,27.11,19.39,87.87,0.06,NASA_POWER
2006-05-02,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.42,22.13,26.17,18.61,86.0,0.04,NASA_POWER
2006-05-03,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.0,22.04,26.18,18.24,85.17,0.04,NASA_POWER
2006-05-04,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.01,20.91,24.84,18.09,84.42,0.03,NASA_POWER
2006-05-05,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.0,20.18,24.37,17.28,86.9,0.03,NASA_POWER
2006-05-06,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.0,19.1,22.49,15.95,90.25,0.08,NASA_POWER
2006-05-07,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.0,19.41,24.59,15.03,89.12,0.06,NASA_POWER
2006-05-08,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.0,19.76,23.17,16.39,88.19,0.03,NASA_POWER
2006-05-09,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.04,20.48,24.96,16.51,84.71,0.04,NASA_POWER
2006-05-10,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.0,19.46,24.11,15.62,83.81,0.03,NASA_POWER
2006-05-11,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.0,18.64,23.5,14.24,83.36,0.04,NASA_POWER
2006-05-12,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.0,17.99,23.31,13.24,84.23,0.06,NASA_POWER
2006-05-13,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.0,18.55,23.77,13.26,83.47,0.15,NASA_POWER
2006-05-14,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.0,20.4,25.37,15.57,85.65,0.19,NASA_POWER
2006-05-15,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.0,21.98,26.99,17.19,89.39,0.07,NASA_POWER
2006-05-16,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.0,23.29,27.67,19.7,89.95,0.03,NASA_POWER
2006-05-17,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.02,22.08,26.85,18.65,88.5,0.05,NASA_POWER
2006-05-18,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.0,21.69,26.72,16.86,89.23,0.08,NASA_POWER
2006-05-19,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.0,22.14,26.61,17.95,88.59,0.06,NASA_POWER
2006-05-20,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,20.16,22.4,25.75,19.93,92.85,0.08,NASA_POWER
2006-05-21,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,3.45,22.62,26.46,19.57,91.18,0.16,NASA_POWER
2006-05-22,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.16,22.19,25.43,19.97,93.15,0.13,NASA_POWER
2006-05-23,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.29,21.84,25.93,18.56,87.53,0.03,NASA_POWER
2006-05-24,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.08,22.05,26.37,18.46,89.4,0.04,NASA_POWER
2006-05-25,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.01,22.7,26.74,19.5,90.17,0.05,NASA_POWER
2006-05-26,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.0,23.35,27.48,20.01,89.34,0.05,NASA_POWER
2006-05-27,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.0,23.31,27.66,19.61,88.78,0.03,NASA_POWER
2006-05-28,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.0,22.79,27.24,19.43,89.17,0.03,NASA_POWER
2006-05-29,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.0,21.95,26.5,18.16,88.17,0.09,NASA_POWER
2006-05-30,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.03,22.63,27.35,18.28,89.31,0.08,NASA_POWER
2006-05-31,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.0,23.15,27.4,19.68,89.08,0.04,NASA_POWER
2006-06-01,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.02,22.51,26.85,18.99,88.1,0.09,NASA_POWER
