date,location_id,location_name,latitude,longitude,soil_moisture_m3m3,soil_moisture_source
2015-03-31,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.2657,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-04-03,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.195514,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-04-05,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.291493,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-04-08,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.27456,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-04-11,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.234197,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-04-13,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.299445,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-04-16,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.272724,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-04-19,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.242999,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-04-21,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.201756,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-04-24,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.200371,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-04-27,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.285199,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-04-29,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.246706,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-05-02,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.265418,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-05-05,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.199078,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-05-07,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.226536,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-05-10,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.210858,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-05-15,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.196257,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-05-21,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.171096,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-05-23,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.166404,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-05-26,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.177801,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-05-29,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.168479,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-05-31,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.182667,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-06-03,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.185478,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-06-06,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.156284,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-06-08,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.15859,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-06-11,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.163727,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-06-14,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.151581,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-06-19,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.15058,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-06-24,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.158309,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-06-27,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.152235,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-06-30,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.145105,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-07-02,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.138692,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-07-05,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.166143,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-07-10,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.216995,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-07-13,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.200325,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-07-16,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.178931,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-07-18,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.160188,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-07-21,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.179414,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-07-24,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.153283,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-07-26,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.173595,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-08-01,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.148152,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-08-03,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.146289,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-08-06,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.14204,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-08-09,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.129498,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-08-17,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.133876,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-08-19,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.135481,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-08-22,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.132844,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-08-25,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.120129,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-08-27,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.169663,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-08-30,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.154664,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-09-02,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.127897,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-09-04,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.116705,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-09-07,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.164818,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-09-10,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.147093,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-09-12,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.16001,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-09-15,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.127129,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-09-18,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.138469,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-09-20,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.13832,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-09-23,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.137559,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-09-26,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.188391,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-09-28,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.206197,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-10-01,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.209309,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-10-06,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.315092,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-10-09,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.245166,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-10-14,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.205816,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-10-20,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.180524,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-10-22,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.175446,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-10-25,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.168809,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-10-28,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.238792,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-10-30,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.182963,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-11-05,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.214045,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-11-07,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.224021,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-11-10,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.223778,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-11-13,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.226688,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-11-15,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.243055,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-11-18,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.324488,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-11-21,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.236113,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-11-23,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.254617,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-11-26,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.256346,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-11-29,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.223303,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-12-01,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.204993,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-12-04,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.245938,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-12-07,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.241746,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-12-09,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.178329,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-12-12,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.192455,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-12-17,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.191479,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-12-20,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.272252,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2015-12-23,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.26015,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
