date,soy_price_brl_bag,soy_price_usd_bag,target_source,target_series_name,target_frequency
2006-03-13,27.66,12.96,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-03-14,27.45,12.91,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-03-15,27.58,13.0,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-03-16,26.97,12.78,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-03-17,26.96,12.68,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-03-20,27.36,12.73,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-03-21,27.55,12.67,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-03-22,27.84,12.94,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-03-23,27.82,12.87,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-03-24,27.91,12.96,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-03-27,28.48,13.12,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-03-28,28.7,12.99,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-03-29,28.69,12.96,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-03-30,28.33,12.94,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-03-31,27.54,12.72,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-04-03,26.96,12.61,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-04-04,26.57,12.45,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-04-05,26.6,12.46,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-04-06,26.79,12.58,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-04-07,26.76,12.45,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-04-10,26.74,12.4,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-04-11,26.8,12.52,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-04-12,26.74,12.54,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-04-13,26.82,12.54,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-04-17,27.28,12.77,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-04-18,27.26,12.88,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-04-19,27.1,12.82,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-04-20,27.04,12.75,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-04-24,27.33,12.93,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-04-25,27.44,12.9,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-04-26,27.32,12.9,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-04-27,27.15,12.9,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-04-28,27.67,13.26,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-05-02,27.59,13.39,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-05-03,27.58,13.29,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-05-04,27.82,13.43,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-05-05,27.76,13.51,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-05-08,27.28,13.18,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-05-09,27.86,13.52,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-05-10,28.13,13.65,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-05-11,28.36,13.5,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-05-12,28.88,13.47,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-05-15,28.83,13.19,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-05-16,28.3,13.25,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-05-17,29.03,13.17,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-05-18,29.05,13.36,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-05-19,28.61,12.96,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-05-22,29.4,12.84,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-05-23,29.23,12.75,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-05-24,30.26,12.61,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-05-25,29.63,12.91,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-05-26,29.04,12.96,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-05-29,28.74,12.63,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-05-30,30.14,13.05,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-05-31,29.5,12.7,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-06-01,29.28,13.0,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-06-02,29.97,13.16,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-06-05,30.02,13.34,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-06-06,29.84,13.22,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-06-09,29.3,12.96,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-06-12,30.0,13.1,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-06-13,30.26,13.14,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-06-14,29.88,13.1,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-06-16,29.84,13.29,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-06-19,28.94,12.84,CEPEA,CEPEA/ESALQ - Paranaguá,daily
2006-06-20,29.18,12.99,CEPEA,CEPEA/ESALQ - Paranaguá,daily
