date,soy_price_brl_bag,soy_price_usd_bag,target_source,target_series_name,target_frequency
2006-03-01,27.789333,12.882,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2006-04-01,27.020556,12.703333,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2006-05-01,28.682727,13.150909,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2006-06-01,29.411579,13.104211,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2006-07-01,29.599524,13.514286,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2006-08-01,28.912609,13.404348,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2006-09-01,29.099,13.42,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2006-10-01,32.12619,14.961905,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2006-11-01,34.3715,15.9235,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2006-12-01,33.314211,15.497368,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2007-01-01,33.676364,15.747273,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2007-02-01,34.709444,16.549444,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2007-03-01,34.005909,16.287273,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2007-04-01,31.956,15.724,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2007-05-01,32.123636,16.228636,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2007-06-01,32.943,17.045,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2007-07-01,33.651818,17.873636,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2007-08-01,37.106087,18.894348,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2007-09-01,41.301579,21.772632,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2007-10-01,42.197273,23.444545,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2007-11-01,42.96,24.2595,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2007-12-01,44.029444,24.655556,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2008-01-01,47.927727,27.02,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2008-02-01,49.993684,28.958421,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2008-03-01,48.061,28.155,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2008-04-01,46.722381,27.700952,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2008-05-01,46.654,28.119,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2008-06-01,52.353333,32.358571,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2008-07-01,52.961739,33.277391,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2008-08-01,46.838571,29.039048,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2008-09-01,48.140909,26.798636,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2008-10-01,46.653478,21.433913,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2008-11-01,47.3205,20.8315,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2008-12-01,46.732,19.4745,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2009-01-01,51.017619,22.08381,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2009-02-01,49.236111,21.303889,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2009-03-01,47.665,20.621818,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2009-04-01,50.1605,22.754,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2009-05-01,52.781,25.614,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2009-06-01,52.368095,26.729048,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2009-07-01,49.935217,25.855217,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2009-08-01,50.058095,27.117143,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2009-09-01,46.266667,25.427619,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2009-10-01,43.962381,25.309048,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2009-11-01,42.012,24.3145,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2009-12-01,41.386,23.639,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2010-01-01,40.2165,22.587,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2010-02-01,38.241111,20.777778,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2010-03-01,37.383913,20.92913,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2010-04-01,37.434,21.302,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2010-05-01,38.397619,21.145238,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2010-06-01,38.908095,21.508571,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2010-07-01,41.365909,23.370455,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2010-08-01,43.834545,24.909545,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2010-09-01,44.748095,26.034762,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2010-10-01,45.7215,27.1435,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2010-11-01,49.173,28.6935,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2010-12-01,49.59,29.26,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2011-01-01,50.779524,30.299048,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
2011-02-01,51.3895,30.803,CEPEA,CEPEA/ESALQ - Paranaguá,monthly
